title,score,concept,ShownAT,ImageURL
"['Den botfärdiga Magdalena', 'The Penitent Magdalen']",13.610178,"['Visual arts', 'Visual Works (hierarchy name)', 'paintings (visual works)']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fcollection.nationalmuseum.se%2FeMuseumPlus%3Fservice%3DExternalInterface%26module%3Dcollection%26objectId%3D17323%26viewType%3DdetailView&provider=Museu&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2064116%2FMuseu_ProvidedCHO_Nationalmuseum__Sweden_17323&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fnationalmuseumse.iiifhosting.com%2Fiiif%2F145ffbbfe05c4745fce768125d96eb64a0b2e310a4ca070d54d620aec7ca98d2%2Ffull%2Ffull%2F0%2Fdefault.jpg&type=IMAGE']
['Virgen de Loreto o de los peregrinos - Cuadro'],13.27287,['Painting'],['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fceres.mcu.es%2Fpages%2FMain%3Fidt%3D132601%26inventary%3D08475%26table%3DFMUS%26museum%3DMLGM&provider=Hispana&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2022703%2Foai_euromuseos_mcu_es_euromuseos_MLGM_08475&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fceres.mcu.es%2Fpages%2FViewer%3Fraw%3Dy%26accion%3D42%26AMuseo%3DMLGM%26img%3D%2FMLGM%2Ffondos_pre%2FMLGMF08475_P.JPG%26Ninv%3D08475&type=IMAGE']
"[""Saint Jean, la Vierge et l'Enfant""]",13.27287,['Oil painting'],['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fbalat.kikirpa.be%2Fobject%2F10128836&provider=AthenaPlus&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2048001%2FAthena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10283905&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2Fthumbnail%2FB162314.jpg&type=IMAGE']
"[""Saint François d'Assise en extase""]",13.27287,n/a,['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fbalat.kikirpa.be%2Fobject%2F10123840&provider=AthenaPlus&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2048001%2FAthena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10279094&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2Fthumbnail%2FB170407.jpg&type=IMAGE']
['Der Zahnzieher'],13.100529,['Painting'],['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.deutschefotothek.de%2Fobj30134785.html&provider=Deutsche+Digitale+Bibliothek&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2048416%2Fitem_WGLGHEEQOFZ7BAPOBFAFGQCNFRGEQ6OC&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fhauptkatalog%2F0260000%2Fdf_hauptkatalog_0260622.jpg&type=IMAGE']
['Der ungläubige Thomas'],13.100529,['Painting'],['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.deutschefotothek.de%2Fobj33104040.html&provider=Deutsche+Digitale+Bibliothek&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2048419%2Fitem_RKOX75NCRC2GW7DCFDRL4STLYBEB5I66&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fhauptkatalog%2F0156000%2Fdf_hauptkatalog_0156399.jpg&type=IMAGE']
['Die Wahrsagerin'],13.100529,['Painting'],['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.deutschefotothek.de%2Fobj32000242.html&provider=Deutsche+Digitale+Bibliothek&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2048410%2Fitem_GLEOSPKHOZ6TFJQY75TVAXA2LIO33QFN&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Ffotothek.slub-dresden.de%2Ffotos%2Fdf%2Fhauptkatalog%2F0257000%2Fdf_hauptkatalog_0257411.jpg&type=IMAGE']
['La Cena in Emmaus'],13.100529,n/a,['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fwww.culturaitalia.it%2Fopencms%2FviewItem.jsp%3Flanguage%3Den%26case%3D%26id%3Doai%253Aculturaitalia.it%253Amuseiditalia-work_28824&provider=AthenaPlus&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2048011%2Fwork_28824&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2F194.242.241.163%2Ffedora%2Fobjects%2Fwork%3A28824%2Fdatastreams%2FMM93608%2Fcontent&type=IMAGE']
['David vencedor de Goliat'],13.057054,"['Religion', 'Painting']",['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=https%3A%2F%2Fwww.museodelprado.es%2Fcoleccion%2Fgaleria-on-line%2Fgaleria-on-line%2Fobra%2Fdavid-vencedor-de-goliath%2F&provider=Museo+Nacional+del+Prado&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2059101%2FMP_P00065&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.museodelprado.es%2Fuploads%2Ftx_gbobras%2FP00065.jpg&type=IMAGE']
"[""Planche 23 : 'Descente de croix' d'après Le Caravage Album de 55 planches. Etudes d'après des maîtres anciens - Italie""]",12.365455,['Oil painting'],['https://api.europeana.eu/api/xbXXa4oQZ/redirect?shownAt=http%3A%2F%2Fbalat.kikirpa.be%2Fobject%2F20036216&provider=AthenaPlus&id=https%3A%2F%2Fwww.europeana.eu%2Fresolve%2Frecord%2F2048001%2FAthena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10345507&profile=standard'],['https://api.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2Fthumbnail%2FB234019.jpg&type=IMAGE']
